,name,url,rating,review_count,price,discount,description
34,"Ai+ Pulse (Purple, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/4/y/-original-imahgzhpcehgd6xv.jpeg?q=70,4.3,"45,086 Ratings & 2,680 Reviews","₹7,499",6% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
35,Kechaoda A26,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/k/a26-a26-kechaoda-original-imahkaqnrnuh8kkm.jpeg?q=70,4,"30,354 Ratings & 1,648 Reviews",₹899,40% off,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB1.68 cm (0.66 inch) FWVGA Display800 mAh Battery3 Months Company Warranty
36,"MOTOROLA g57 power 5G (Pantone Regatta, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/u/l/-original-imahhqjwyzsjyfvn.jpeg?q=70,4.4,"19,181 Ratings & 1,038 Reviews","₹14,999",16% off,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 8MP Front Camera7000 mAh Battery6s Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
37,"POCO M7 Plus 5G (Chrome Silver, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/o/4/-original-imahf728axcsmfeq.jpeg?q=70,4.1,"1,893 Ratings & 129 Reviews","₹12,999",18% off,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.53 cm (6.9 inch) Display50MP Rear Camera7000 mAh BatterySnapdragon 6s Gen 3 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
38,"REDMI A5 (Just Black, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/4/r/-original-imahb56zdgszp7tg.jpeg?q=70,4.1,"7,305 Ratings & 343 Reviews","₹7,999",11% off,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories
39,"realme Narzo 80 Lite 4G (Beach Gold, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/p/t/-original-imahgkgxmhadh95w.jpeg?q=70,4.3,"1,783 Ratings & 89 Reviews","₹9,492",13% off,6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) HD+ Display32MP Rear Camera6300 mAh Battery1 year brand Warranty
40,"realme C71 (Sea Blue, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/f/j/-original-imahdz2gdtkwhz9g.jpeg?q=70,4.2,"9,173 Ratings & 345 Reviews","₹9,699",11% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
41,"IQOO Z10 5G (Glacier Silver / Silver, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/e/4/z10-5g-i2407-iqoo-original-imahk4xyfs9jfpyg.jpeg?q=70,4.4,"5,471 Ratings & 267 Reviews","₹24,999",10% off,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera7300 mAh Battery1 Year
42,"vivo X200T (Seaside Lilac, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/9/q/-original-imahjzxkrfjzvgzy.jpeg?q=70,4.7,470 Ratings & 83 Reviews,"₹59,999",25% off,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ AMOLED Display50MP + 50MP + 50MP | 32MP Front Camera6200 mAh BatteryDimensity 9400+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
43,"POCO M7 5G (Mint Green, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/w/0/-original-imah9wydggh9mtxt.jpeg?q=70,4.1,"75,873 Ratings & 3,510 Reviews","₹10,799",16% off,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
44,"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/1/w/z10-lite-5g-i2409-iqoo-original-imahjc53phvprgag.jpeg?q=70,4.3,"3,431 Ratings & 137 Reviews","₹12,982",13% off,6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty
