name,price,discount,rating,rating_review_count,description,image_url
"POCO M7 Pro 5G (Lunar Dust, 128 GB)","₹13,499",28% off,4.3,"37,985 Ratings & 2,714 Reviews","6 GB RAM | 128 GB ROM
16.94 cm (6.67 inch) Full HD+ Display
50MP + 2MP | 20MP Front Camera
5110 mAh Battery
Dimensity 7025 Ultra Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/m/x/-original-imah7jspd8dcxfut.jpeg?q=70
"MOTOROLA G96 5G (Pantone Dresden Blue, 256 GB)","₹19,999",13% off,4.4,"89,039 Ratings & 4,492 Reviews","8 GB RAM | 256 GB ROM
16.94 cm (6.67 inch) Full HD+ Display
50MP + 8MP | 32MP Front Camera
5500 mAh Battery
7s Gen 2 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/o/9/-original-imahgqnzt97efyph.jpeg?q=70
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)","₹14,999",11% off,4.3,"23,279 Ratings & 999 Reviews","8 GB RAM | 256 GB ROM | Expandable Upto 2 TB
17.12 cm (6.74 inch) HD+ Display
50MP + 2MP | 5MP Front Camera
6000 mAh Battery
Dimensity 6300 5G Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/w/0/-original-imahfkx4pbdh5pff.jpeg?q=70
"REDMI A4 (Sparkle Purple, 128 GB)","₹10,400",13% off,4.3,"15,112 Ratings & 628 Reviews","4 GB RAM | 128 GB ROM
17.48 cm (6.88 inch) Display
50MP Rear Camera
5160 mAh Battery
1 Year",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/c/z/a4-5g-a4-5g-redmi-original-imah6yhdqpgfw36t.jpeg?q=70
"MOTOROLA g67 power 5G (Pantone Parachute, 128 GB)","₹17,999",5% off,4.4,"8,653 Ratings & 480 Reviews","8 GB RAM | 128 GB ROM
17.02 cm (6.7 inch) Full HD+ Display
50MP + 8MP | 32MP Front Camera
7000 mAh Battery
7s Gen 2 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/y/y/-original-imahhjhfu7jed8kt.jpeg?q=70
"realme P3x 5G (Lunar Silver, 128 GB)","₹12,999",23% off,4.4,"74,275 Ratings & 2,851 Reviews","6 GB RAM | 128 GB ROM
17.07 cm (6.72 inch) Full HD Display
50MP Rear Camera | 8MP Front Camera
6000 mAh Battery
Dimensity 6400 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/c/4/-original-imah9gtmjhh9eb8k.jpeg?q=70
"MOTOROLA g05 (Plum Red, 64 GB)","₹7,299",27% off,4.2,"80,271 Ratings & 4,805 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) HD+ Display
50MP Rear Camera | 8MP Front Camera
5100 mAh Battery
Helio G81 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/j/b/-original-imah83ezvx8m7hs6.jpeg?q=70
"POCO M7 5G (Ocean Blue, 128 GB)","₹10,799",16% off,4.1,"75,808 Ratings & 3,507 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.48 cm (6.88 inch) HD+ Display
50MP Rear Camera | 8MP Front Camera
5160 mAh Battery
4 Gen 2 5G Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/s/t/-original-imah9wydbymh7gv2.jpeg?q=70
"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)","₹11,999",7% off,4.4,"10,069 Ratings & 400 Reviews","4 GB RAM | 128 GB ROM | Expandable Upto 2 TB
16.94 cm (6.67 inch) Display
32MP Rear Camera | 8MP Front Camera
6000 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/o/v/-original-imahfsgvr6fvsczs.jpeg?q=70
"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)","₹22,999",11% off,4.4,"1,24,426 Ratings & 6,420 Reviews","8 GB RAM | 256 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) Display
50MP + 13MP | 32MP Front Camera
5500 mAh Battery
Dimensity 7400 Processor
68W Charger
1 Year Warranty on Handset and 6 Months Warranty on Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/7/t/-original-imahgqnz4hjyk6fh.jpeg?q=70
